customer_id,age,gender,marital_status,dependents,education,employment_type,city_tier,monthly_income,salary_consistency_score,years_with_bank,avg_monthly_balance,monthly_credit_amount,monthly_debit_amount,monthly_transaction_count,emi_obligations,debt_to_income_ratio,credit_utilization_ratio,cibil_score,active_loans,missed_payments_12m,monthly_investment_amount,investment_value,has_fixed_deposit,has_mutual_fund,digital_logins_30d,upi_transactions_30d,mobile_banking_user,loan_product_interest,loan_amount_requested,loan_tenure_months,loan_accepted
CUST000001,43,Male,Single,1,Professional,Self-employed,Tier 3,141884.03,0.645,6.6,65655.65,132897.74,119092.78,44,9647.19,0.068,0.058,768,2,0,32885.89,1043582.64,0,1,22,12,1,Personal Loan,877000,36,1
CUST000002,29,Female,Married,3,Graduate,Government,Tier 1,87452.19,0.856,9.0,252104.89,81913.37,78452.72,44,9823.62,0.112,0.537,741,1,0,31314.97,373666.53,1,1,32,45,1,Personal Loan,579000,48,0
CUST000003,48,Male,Married,0,Graduate,Salaried,Tier 1,64838.5,0.849,8.6,52248.14,60731.92,53402.14,43,10586.93,0.163,0.511,725,2,0,32507.0,426966.6,1,1,17,22,1,Home Loan,1936000,120,1
CUST000004,50,Female,Widowed,0,Postgraduate,Self-employed,Tier 2,64167.83,0.585,3.1,31731.55,60103.73,54890.84,47,20886.14,0.325,0.502,700,4,0,0.0,0.0,1,0,22,13,1,Home Loan,2602000,360,1
CUST000005,21,Female,Married,1,Graduate,Self-employed,Tier 2,49141.46,0.685,3.0,31483.33,46029.06,40341.37,48,12992.13,0.264,0.387,709,3,0,2073.63,101809.38,0,0,28,27,1,Auto Loan,860000,24,0
CUST000006,26,Female,Married,1,Postgraduate,Salaried,Tier 3,41747.21,0.959,5.3,17765.7,39103.13,31886.48,32,12819.26,0.307,0.379,751,1,0,4163.52,70790.07,0,0,27,27,1,Auto Loan,495000,36,0
CUST000007,41,Female,Married,1,Graduate,Salaried,Tier 1,197274.72,0.986,5.0,181901.61,184780.24,148111.91,67,0.0,0.0,0.392,736,0,0,27358.53,1654350.19,1,1,21,32,1,Personal Loan,1671000,60,1
CUST000008,37,Female,Single,1,High School,Government,Tier 3,17801.88,0.938,8.9,8234.51,16674.39,10098.23,27,1351.98,0.076,0.082,797,2,1,0.0,0.0,0,0,33,34,1,Home Loan,886000,300,0
CUST000009,40,Female,Single,2,Professional,Salaried,Tier 1,191118.28,0.866,3.7,128279.5,179013.72,140115.47,71,65382.41,0.342,0.349,741,1,0,18135.83,726184.4,1,0,23,17,1,Auto Loan,3194000,60,0
CUST000010,31,Female,Married,1,Graduate,Self-employed,Tier 1,50780.3,0.526,7.3,24510.22,47564.11,45742.08,45,0.0,0.0,0.123,822,0,0,9633.07,654597.81,1,0,28,29,0,Auto Loan,946000,84,1
CUST000011,50,Female,Married,2,Graduate,Self-employed,Tier 1,73680.66,0.553,3.7,14825.25,69014.06,58998.65,35,28113.73,0.382,0.656,556,2,2,5203.46,76088.98,0,0,18,17,0,Auto Loan,1076000,60,0
CUST000012,49,Male,Single,2,Postgraduate,Self-employed,Tier 1,77696.89,0.777,15.4,29943.0,72775.92,63462.44,36,34792.85,0.448,0.743,564,3,2,25768.11,917563.8,0,1,15,8,0,Home Loan,4069000,360,0
CUST000013,41,Female,Single,2,Graduate,Government,Tier 3,42740.44,0.964,2.0,22654.05,40033.45,33858.75,46,0.0,0.0,0.459,742,0,0,8087.9,90016.69,1,1,15,21,0,Auto Loan,883000,24,0
CUST000014,52,Female,Married,1,Postgraduate,Government,Tier 1,65934.11,1.0,0.2,35334.07,61758.14,57101.51,37,8590.46,0.13,0.286,722,2,0,24313.15,243437.53,0,1,15,14,1,Personal Loan,357000,36,1
CUST000015,45,Female,Single,0,High School,Government,Tier 2,34398.9,0.799,1.0,32753.45,32220.23,25688.14,37,0.0,0.0,0.206,790,0,0,419.91,8390.69,0,0,17,13,1,Home Loan,1150000,120,1
CUST000016,31,Male,Married,3,Professional,Salaried,Tier 2,40999.18,0.874,0.8,33300.86,38402.48,33468.94,29,12515.99,0.305,0.438,670,2,0,0.0,0.0,0,0,22,29,0,Auto Loan,523000,24,0
CUST000017,44,Male,Married,1,Graduate,Salaried,Tier 1,28801.78,0.741,6.0,13045.0,26977.61,23617.71,40,0.0,0.0,0.362,724,0,0,5443.64,252471.68,0,0,24,25,1,Home Loan,1254000,120,1
CUST000018,29,Male,Divorced,1,High School,Self-employed,Tier 2,31123.86,0.496,4.4,13544.07,29152.62,24409.69,50,0.0,0.0,0.188,782,0,0,12524.55,679260.49,0,0,28,42,1,Home Loan,1073000,240,0
CUST000019,50,Male,Married,1,Professional,Self-employed,Tier 3,149188.08,0.598,5.4,95367.31,139739.19,128605.71,52,31614.36,0.212,0.257,744,2,0,0.0,0.0,0,0,20,18,1,Auto Loan,2929000,84,1
CUST000020,39,Female,Single,1,Postgraduate,Salaried,Tier 2,77342.11,1.0,6.7,36824.42,72443.61,68814.37,42,6803.45,0.088,0.292,784,2,0,17644.57,1346072.92,1,1,28,24,1,Mortgage Loan,5100000,84,0
CUST000021,38,Male,Single,1,Postgraduate,Self-employed,Tier 1,87169.7,0.606,2.4,37339.66,81648.77,57427.78,37,19385.4,0.222,0.397,692,2,0,4276.35,231703.98,0,1,30,23,1,Home Loan,3470000,360,0
