customer_id,age,city,monthly_income,avg_monthly_balance,monthly_expense,existing_emi,cibil_score,salary_consistency,digital_activity_score,credit_card_spend,investment_amount,rent_payment,loan_history,foir,savings_ratio,recommended_loan,loan_accepted
CUST00001,50,Pune,121694,163604,74135,8543,794,0.43,43,49649,4805,1,1,0.07,0.32,Home Loan,1
CUST00002,42,Hyderabad,232176,143301,131145,45129,628,0.71,61,17567,158257,0,1,0.19,0.24,None,0
CUST00003,28,Bangalore,245348,212434,63289,104025,593,0.89,28,14421,39654,0,3,0.42,0.32,None,0
CUST00004,29,Pune,128510,50725,62280,10538,581,0.66,73,45067,16628,1,1,0.08,0.43,Home Loan,1
CUST00005,57,Nagpur,181678,302891,55065,16022,769,0.6,99,83758,68635,1,0,0.09,0.61,Home Loan,1
CUST00006,22,Nagpur,66984,119077,47782,5989,642,0.89,27,30206,36163,0,2,0.09,0.2,Personal Loan,1
CUST00007,30,Delhi,48535,41937,14912,8098,641,0.6,63,19445,30142,1,0,0.17,0.53,None,0
CUST00008,22,Bangalore,232020,244588,165332,51556,786,0.66,61,67665,32762,1,0,0.22,0.07,Home Loan,1
CUST00009,51,Bangalore,229428,120173,113848,78005,615,0.97,90,48033,25892,1,0,0.34,0.16,Home Loan,1
CUST00010,49,Nagpur,218235,176348,170216,31852,810,0.94,20,38270,65246,1,0,0.15,0.07,None,0
CUST00011,27,Chennai,39959,40276,21613,12451,813,0.6,98,5696,6119,1,3,0.31,0.15,None,0
CUST00012,23,Hyderabad,238546,145869,100405,3959,692,0.99,73,16263,57620,1,1,0.02,0.56,Home Loan,1
CUST00013,47,Mumbai,175381,89706,114573,60108,702,0.55,57,44245,77626,1,2,0.34,0.0,None,0
CUST00014,30,Nagpur,191179,184284,127609,73845,831,0.81,38,84335,108331,0,2,0.39,-0.05,Personal Loan,1
CUST00015,39,Mumbai,29111,9716,13235,1486,730,0.72,61,5585,13448,1,0,0.05,0.49,None,0
CUST00016,33,Mumbai,38932,63486,24521,5939,678,0.82,99,21156,24175,1,3,0.15,0.22,None,0
CUST00017,29,Mumbai,23539,38310,14449,97,678,0.98,37,3258,9041,1,3,0.0,0.38,Mortgage Loan,1
CUST00018,25,Chennai,41328,38832,14766,6815,714,0.83,52,14398,14719,1,1,0.16,0.48,Auto Loan,1
CUST00019,59,Mumbai,152508,141445,121039,29811,676,0.75,83,80111,24573,1,3,0.2,0.01,None,0
CUST00020,38,Bangalore,205563,349206,169046,84628,678,0.85,56,115233,61613,1,2,0.41,-0.23,None,0
CUST00021,42,Pune,24102,13410,13043,4042,802,0.91,86,8761,1639,1,1,0.17,0.29,Personal Loan,1
